RU;99;1079;TransparentCalls;0.62;479;55;31
US;78;688;E-Voice;0.97;96;71;11
GB;4;1142;TransparentCalls;0.81;899;45;58
FR;73;136;TransparentCalls;0.93;131;36;52
BL;12;1750;E-Voice;0.73;955;43;7
AT;64;1279;TransparentCalls;0.92;532;0;20
BG;81;1771;E-Voice;0.94;51;11;59
DK;88;1732;JustPhone;0.91;316;33;7
A74811;JustPhone;0.63;362;29;33
ES;47;1133;E-Voice;0.94;708;40;49
CH;30;1082;JustPhone;0.94;134;62;57
TR;24;1557;TransparentCalls;0.62;420;91;37
PE;84;1035;JustPhone;0.95;291;74;33
NZ;19;1742;JustPhone;0.78;448;55;45
MC;45;1668;E-Voice;0.75;908;21;57
