RU;26;1697;TransparentCalls;0.85;547;71;33
US;0;64;E-Voice;0.70;867;48;32
GB;63;461;TransparentCalls;0.94;56;41;44
FR;55;121;TransparentCalls;0.76;909;80;38
BL;5;648;E-Voice;0.63;211;73;51
AT;57;957;TransparentCalls;0.74;547;64;33
BG;22;1939;E-Voice;0.92;345;23;47
DK;97;1554;JustPhone;0.61;735;55;57
CA;92;393;JustPhone;0.83;690;87;23
ES;51;1058;E-Voice;0.84;523;29;31
CH;76;201;JustPhone;0.93;612;4;32
TR;28;645;TransparentCalls;0.74;644;48;23
PE;67;448;JustPhone;0.70;568;9;19
NZ;8;719;JustPhone;0.77;306;22;22
MC;25;654;E-Voice;0.71;887;91;17
